dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
15/06/2020,15,6,2020,57,0,Albania,AL,ALB,2862427,Europe
14/06/2020,14,6,2020,48,0,Albania,AL,ALB,2862427,Europe
13/06/2020,13,6,2020,31,1,Albania,AL,ALB,2862427,Europe
12/06/2020,12,6,2020,44,1,Albania,AL,ALB,2862427,Europe
11/06/2020,11,6,2020,42,0,Albania,AL,ALB,2862427,Europe
10/06/2020,10,6,2020,36,0,Albania,AL,ALB,2862427,Europe
09/06/2020,9,6,2020,17,0,Albania,AL,ALB,2862427,Europe
08/06/2020,8,6,2020,14,0,Albania,AL,ALB,2862427,Europe
07/06/2020,7,6,2020,20,1,Albania,AL,ALB,2862427,Europe
06/06/2020,6,6,2020,15,0,Albania,AL,ALB,2862427,Europe
05/06/2020,5,6,2020,13,0,Albania,AL,ALB,2862427,Europe
04/06/2020,4,6,2020,20,0,Albania,AL,ALB,2862427,Europe
03/06/2020,3,6,2020,21,0,Albania,AL,ALB,2862427,Europe
02/06/2020,2,6,2020,6,0,Albania,AL,ALB,2862427,Europe
01/06/2020,1,6,2020,15,0,Albania,AL,ALB,2862427,Europe
31/05/2020,31,5,2020,23,0,Albania,AL,ALB,2862427,Europe
30/05/2020,30,5,2020,23,0,Albania,AL,ALB,2862427,Europe
29/05/2020,29,5,2020,26,0,Albania,AL,ALB,2862427,Europe
28/05/2020,28,5,2020,21,0,Albania,AL,ALB,2862427,Europe
27/05/2020,27,5,2020,25,1,Albania,AL,ALB,2862427,Europe
26/05/2020,26,5,2020,6,0,Albania,AL,ALB,2862427,Europe
25/05/2020,25,5,2020,9,1,Albania,AL,ALB,2862427,Europe
24/05/2020,24,5,2020,8,0,Albania,AL,ALB,2862427,Europe
23/05/2020,23,5,2020,12,0,Albania,AL,ALB,2862427,Europe
22/05/2020,22,5,2020,5,0,Albania,AL,ALB,2862427,Europe
21/05/2020,21,5,2020,15,0,Albania,AL,ALB,2862427,Europe
20/05/2020,20,5,2020,1,0,Albania,AL,ALB,2862427,Europe
19/05/2020,19,5,2020,2,0,Albania,AL,ALB,2862427,Europe
18/05/2020,18,5,2020,13,0,Albania,AL,ALB,2862427,Europe
17/05/2020,17,5,2020,17,0,Albania,AL,ALB,2862427,Europe
16/05/2020,16,5,2020,18,0,Albania,AL,ALB,2862427,Europe
15/05/2020,15,5,2020,18,0,Albania,AL,ALB,2862427,Europe
14/05/2020,14,5,2020,4,0,Albania,AL,ALB,2862427,Europe
13/05/2020,13,5,2020,4,0,Albania,AL,ALB,2862427,Europe
12/05/2020,12,5,2020,4,0,Albania,AL,ALB,2862427,Europe
11/05/2020,11,5,2020,12,0,Albania,AL,ALB,2862427,Europe
10/05/2020,10,5,2020,6,0,Albania,AL,ALB,2862427,Europe
09/05/2020,9,5,2020,8,0,Albania,AL,ALB,2862427,Europe
08/05/2020,8,5,2020,10,0,Albania,AL,ALB,2862427,Europe
07/05/2020,7,5,2020,12,0,Albania,AL,ALB,2862427,Europe
06/05/2020,6,5,2020,17,0,Albania,AL,ALB,2862427,Europe
05/05/2020,5,5,2020,8,0,Albania,AL,ALB,2862427,Europe
04/05/2020,4,5,2020,6,0,Albania,AL,ALB,2862427,Europe
03/05/2020,3,5,2020,7,0,Albania,AL,ALB,2862427,Europe
02/05/2020,2,5,2020,9,0,Albania,AL,ALB,2862427,Europe
01/05/2020,1,5,2020,7,0,Albania,AL,ALB,2862427,Europe
30/04/2020,30,4,2020,16,1,Albania,AL,ALB,2862427,Europe
29/04/2020,29,4,2020,14,2,Albania,AL,ALB,2862427,Europe
28/04/2020,28,4,2020,10,0,Albania,AL,ALB,2862427,Europe
27/04/2020,27,4,2020,14,1,Albania,AL,ALB,2862427,Europe
26/04/2020,26,4,2020,34,0,Albania,AL,ALB,2862427,Europe
25/04/2020,25,4,2020,15,0,Albania,AL,ALB,2862427,Europe
24/04/2020,24,4,2020,29,0,Albania,AL,ALB,2862427,Europe
23/04/2020,23,4,2020,25,1,Albania,AL,ALB,2862427,Europe
22/04/2020,22,4,2020,25,0,Albania,AL,ALB,2862427,Europe
21/04/2020,21,4,2020,22,0,Albania,AL,ALB,2862427,Europe
20/04/2020,20,4,2020,14,0,Albania,AL,ALB,2862427,Europe
19/04/2020,19,4,2020,9,0,Albania,AL,ALB,2862427,Europe
18/04/2020,18,4,2020,21,0,Albania,AL,ALB,2862427,Europe
17/04/2020,17,4,2020,24,1,Albania,AL,ALB,2862427,Europe
16/04/2020,16,4,2020,19,1,Albania,AL,ALB,2862427,Europe
15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2862427,Europe
14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2862427,Europe
13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2862427,Europe
12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2862427,Europe
11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2862427,Europe
10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2862427,Europe
09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2862427,Europe
08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2862427,Europe
07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2862427,Europe
